Subject_id,Trial_num,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F2,T0043,unfooted,broad,tongue_tip,52,120.97,28,3.9
F2,T0044,footed,narrow,lower_lip,72,105.97,40,4.7
F2,T0045,footed,narrow,tongue_body,148,117.84,52,9.4
F2,T0046,unfooted,narrow,lower_lip,96,93.2,40,5.6
F2,T0047,unfooted,background,tongue_tip,60,181.09,36,6.6
F2,T0048,footed,broad,tongue_tip,100,148.12,72,5
F2,T0049,unfooted,narrow,tongue_tip,96,126.72,68,4.8
F2,T0050,unfooted,contrastive,lower_lip,60,93.07,32,3.4
F2,T0051,footed,broad,tongue_tip,84,114.93,68,2.8
F2,T0052,footed,contrastive,tongue_body,160,141.4,80,12
F2,T0053,unfooted,background,tongue_body,160,80.68,64,9.5
F2,T0054,unfooted,broad,lower_lip,64,81.37,36,3.3
F2,T0055,unfooted,background,tongue_tip,92,153.73,56,6.4
F2,T0056,unfooted,contrastive,tongue_body,136,133.23,60,11.2
F2,T0057,footed,narrow,tongue_body,152,122.53,72,9.6
F2,T0058,footed,broad,tongue_body,120,98.1,60,7.4
F2,T0059,unfooted,narrow,tongue_body,112,102.79,68,7.9
F2,T0060,footed,narrow,tongue_tip,108,114.38,80,3.3
F2,T0061,footed,background,tongue_tip,144,164.93,100,7.7
F2,T0063,footed,contrastive,lower_lip,88,122.53,40,6.7
F2,T0064,unfooted,broad,tongue_body,116,91.26,84,7.6
F2,T0065,footed,background,lower_lip,80,72.25,40,3.5
F2,T0066,footed,narrow,lower_lip,48,84.43,40,2.7
F2,T0067,footed,contrastive,tongue_tip,96,155.75,76,4.8
F2,T0068,footed,broad,lower_lip,84,86.82,48,4.8
F2,T0069,footed,background,tongue_body,108,112.3,64,7.6
F2,T0070,unfooted,narrow,lower_lip,80,144.96,56,7.9
F2,T0071,unfooted,contrastive,tongue_tip,60,199.32,28,7.1
F2,T0072,unfooted,background,lower_lip,72,41.35,32,2
F2,T0073,footed,broad,tongue_tip,92,115.36,64,4.1
F2,T0074,unfooted,narrow,tongue_tip,56,94.33,32,3.3
F2,T0075,footed,background,lower_lip,68,50.6,36,2.4
F2,T0076,footed,narrow,tongue_body,136,129.34,52,11
F2,T0077,unfooted,broad,tongue_tip,52,93.63,28,3.1
F2,T0078,footed,background,tongue_body,124,106.58,64,8.9
F2,T0079,footed,broad,tongue_body,132,125.68,72,9.6
F2,T0080,unfooted,broad,lower_lip,84,92.82,32,4.6
F2,T0081,footed,contrastive,tongue_body,140,130.78,60,10.3
F2,T0082,footed,narrow,tongue_tip,92,157.22,64,5.2
F2,T0083,unfooted,contrastive,tongue_body,168,116.21,80,10.4
F2,T0084,unfooted,background,tongue_body,112,90.74,56,6.6
F2,T0085,unfooted,background,lower_lip,76,59.05,28,3
F2,T0086,footed,contrastive,lower_lip,92,95.48,36,5.5
F2,T0087,unfooted,contrastive,tongue_tip,92,118.79,36,5.7
F2,T0088,footed,contrastive,tongue_tip,108,144.66,72,6.4
F2,T0089,footed,narrow,lower_lip,84,123.75,40,7.1
F2,T0090,unfooted,broad,tongue_body,136,99.95,68,8.2
