Subject_id,Trial_id,Footedness,Info_str,Place,GDUR,MDISP,PVEL,T2PVEL
M1,T0002,unfooted,narrow,lower_lip,96,6.3,111.06,52
M1,T0004,footed,narrow,tongue_tip,40,3.2,113.26,32
M1,T0005,footed,broad,tongue_body,220,12.5,116.42,124
M1,T0006,unfooted,background,tongue_tip,100,4.1,89.72,68
M1,T0007,footed,background,tongue_body,84,4,78.41,68
M1,T0008,unfooted,broad,tongue_body,160,8.7,82.28,88
M1,T0009,footed,background,lower_lip,140,8.5,90.63,52
M1,T0010,unfooted,broad,tongue_tip,100,4.8,91.82,64
M1,T0011,footed,broad,tongue_tip,76,7.4,148.42,44
M1,T0012,footed,contrastive,tongue_tip,99.9,7.4,87.08,65.2
M1,T0013,footed,contrastive,lower_lip,128,6.7,78.83,72
M1,T0014,unfooted,contrastive,lower_lip,104,7.4,102.9,64
M1,T0015,unfooted,narrow,tongue_body,96,3.2,55.68,68
M1,T0016,footed,contrastive,tongue_body,108,5.5,96.58,96
M1,T0017,unfooted,background,tongue_body,76,3.3,72.29,56
M1,T0018,footed,background,tongue_tip,52,2.7,60.55,16
M1,T0019,unfooted,contrastive,tongue_body,84,4.7,95.36,60
M1,T0020,unfooted,background,lower_lip,104,8.3,118.97,60
M1,T0022,footed,narrow,tongue_body,120,5.6,86.49,100
M1,T0023,footed,narrow,lower_lip,140,5.1,71.56,92
M1,T0024,unfooted,broad,lower_lip,144,6.4,88.58,100
M1,T0025,footed,broad,tongue_body,188,9.3,97.94,92
M1,T0026,unfooted,background,lower_lip,84,1.6,27.38,40
M1,T0027,footed,broad,lower_lip,108,5.9,84.86,48
M1,T0028,unfooted,broad,lower_lip,100,5.5,102.6,52
M1,T0029,unfooted,narrow,tongue_body,84,3,58.2,64
M1,T0030,footed,broad,tongue_tip,108,8,120.19,68
M1,T0031,unfooted,background,tongue_tip,96,1.3,18.03,64
M1,T0032,unfooted,contrastive,tongue_tip,84,1.6,25.32,60
M1,T0034,unfooted,contrastive,lower_lip,108,6.9,97.52,80
M1,T0035,footed,narrow,lower_lip,80,4.3,71.56,40
M1,T0036,footed,contrastive,lower_lip,88,5.6,96.38,52
M1,T0037,unfooted,broad,tongue_tip,96,5.3,104.34,60
M1,T0038,unfooted,contrastive,tongue_body,176,5.5,61.72,84
M1,T0039,unfooted,narrow,tongue_tip,100,4.3,66.03,68
M1,T0040,footed,background,tongue_body,132,5.9,52.73,70.6
M1,T0041,unfooted,background,tongue_body,60,3,71.69,40
M1,T0042,footed,background,lower_lip,88,2.5,48.23,32
M1,T0043,footed,contrastive,tongue_body,120,4.2,76.14,108
M1,T0044,unfooted,broad,tongue_body,152,6.4,79.04,64
M1,T0045,footed,narrow,tongue_body,88,4.3,77.24,64
M1,T0046,unfooted,narrow,lower_lip,124,9,99.29,56
M1,T0047,footed,narrow,tongue_tip,84,4.3,95.96,60
M1,T0048,footed,background,tongue_tip,72,2.9,52.57,24
M1,T0049,unfooted,narrow,lower_lip,68,2.1,46.03,32
M1,T0050,footed,background,lower_lip,80,4.6,84.44,48
M1,T0051,footed,narrow,tongue_body,96,3.5,60.11,68
M1,T0052,footed,broad,tongue_body,148,8.7,96.36,64
M1,T0053,footed,background,tongue_tip,72,1.9,38.13,52
M1,T0055,footed,broad,lower_lip,100,5.6,87.24,44
M1,T0056,unfooted,contrastive,tongue_body,140,4.7,58.8,44
M1,T0057,footed,background,tongue_body,112,6,80.88,84
M1,T0058,unfooted,broad,tongue_body,76,3.7,76.36,56
M1,T0059,unfooted,background,tongue_body,80,4.3,85.85,60
M1,T0060,footed,narrow,tongue_tip,88,4.6,84.25,56
M1,T0061,footed,narrow,lower_lip,124,7.3,89.21,80
M1,T0062,unfooted,narrow,tongue_body,144,7.8,75.29,56
M1,T0063,footed,contrastive,tongue_tip,88,4.9,73.55,24
M1,T0064,footed,contrastive,lower_lip,96,5,81.97,44
M1,T0066,unfooted,contrastive,lower_lip,96,4.6,69.2,44
M1,T0067,unfooted,narrow,tongue_tip,88,3.3,69.87,64
M1,T0068,unfooted,background,lower_lip,96,3.8,60.84,44
M1,T0069,footed,contrastive,tongue_body,96,4.7,78.02,76
M1,T0070,footed,broad,tongue_tip,72,4.1,77.52,32
M1,T0071,unfooted,broad,lower_lip,104,7.2,107.59,56
M1,T0072,unfooted,broad,tongue_tip,84,1.4,30.43,64
M1,T0073,footed,background,tongue_body,86.3,3.5,63.93,64.2
M1,T0074,footed,broad,tongue_body,184,10.6,102.75,124
M1,T0075,unfooted,narrow,tongue_tip,104,4.4,97.04,72
M1,T0076,footed,contrastive,tongue_body,84,3.9,77.74,64
M1,T0077,footed,narrow,tongue_body,76,1.7,34.53,56
M1,T0079,footed,contrastive,lower_lip,100,5,75.12,60
M1,T0080,footed,narrow,lower_lip,80,5,96.56,40
M1,T0081,unfooted,contrastive,tongue_body,60,2.7,61.49,40
M1,T0082,footed,broad,tongue_tip,100,7.4,108.2,48
M1,T0083,unfooted,broad,lower_lip,100,4.3,61.14,56
M1,T0084,footed,narrow,tongue_tip,96,5.9,94.9,52
M1,T0085,unfooted,contrastive,lower_lip,92,2.4,38.27,44
M1,T0086,footed,contrastive,tongue_tip,112,7.2,118.57,64
M1,T0087,footed,broad,lower_lip,72,2.1,46.46,40
M1,T0088,unfooted,background,tongue_tip,92,3.9,63.19,44
M1,T0089,unfooted,narrow,lower_lip,88,2.2,37.88,80
M1,T0090,unfooted,background,lower_lip,72,3.4,66.22,36
M1,T0091,unfooted,narrow,tongue_body,120,3.4,54.82,108
M1,T0092,unfooted,contrastive,tongue_tip,88,1.8,40.41,64
M1,T0093,unfooted,broad,tongue_body,104,3.6,62.23,84
M1,T0094,footed,background,tongue_tip,56,2.9,86.96,36
M1,T0095,unfooted,background,tongue_body,100,4.3,77.42,84
M1,T0096,unfooted,broad,tongue_tip,84,2.6,53.76,64
M1,T0097,footed,narrow,lower_lip,56,2.7,72.97,40
M1,T0098,unfooted,broad,lower_lip,64,2.2,49.11,44
M1,T0099,footed,background,tongue_tip,104,2.6,51.82,76
M1,T0100,unfooted,background,tongue_body,92,4.6,67.59,72
M1,T0101,footed,broad,tongue_tip,96,2.9,59.09,72
M1,T0102,unfooted,contrastive,tongue_tip,168,6.9,98.7,128
M1,T0103,footed,broad,tongue_body,132,6,81.07,108
M1,T0104,unfooted,contrastive,lower_lip,112,4.7,61.76,64
M1,T0105,unfooted,broad,tongue_body,136,3.9,64.53,116
M1,T0106,footed,narrow,tongue_body,84,3.5,65.6,68
M1,T0107,footed,contrastive,tongue_tip,80,4,94.01,56
M1,T0108,footed,contrastive,lower_lip,92,5.3,80.62,52
M1,T0109,unfooted,background,tongue_tip,84,2.7,47.97,64
M1,T0110,footed,broad,lower_lip,96,6.5,103.9,56
M1,T0111,unfooted,narrow,lower_lip,84,3,49.73,32
M1,T0113,footed,background,lower_lip,76,3.6,74.8,44
M1,T0114,footed,contrastive,tongue_body,104,4.2,61.34,84
M1,T0115,unfooted,broad,tongue_tip,80,3.3,69.45,56
M1,T0116,unfooted,contrastive,tongue_body,72,3.6,73.26,64
M1,T0117,footed,narrow,tongue_tip,92,4.4,71.73,56
M1,T0118,unfooted,background,lower_lip,112,7.6,107.95,72
M1,T0119,unfooted,narrow,tongue_body,152,4.6,64.81,132
M1,T0120,footed,background,tongue_body,104,5.4,96.24,96
M1,T0121,unfooted,broad,tongue_body,56,2.1,55.51,40
