Subject_id,Trial_id,Footedness,Info_str,Place,GDUR,MDISP,PVEL,T2PVEL
M1,T0122,footed,narrow,lower_lip,88,4.1,66.11,40
M1,T0123,unfooted,contrastive,tongue_tip,80,4.2,75.67,48
M1,T0124,footed,contrastive,tongue_body,76,2.4,51.62,60
M1,T0125,unfooted,background,tongue_body,136,6.6,76.36,104
M1,T0126,footed,broad,tongue_tip,60,4.3,123.63,40
M1,T0127,unfooted,contrastive,tongue_body,64,1.9,44.94,52
M1,T0128,unfooted,narrow,lower_lip,64,3.6,80.33,40
M1,T0129,footed,background,lower_lip,100,5.4,74.75,40
M1,T0130,footed,broad,lower_lip,92,4.7,79.08,40
M1,T0131,unfooted,narrow,tongue_tip,104,5.7,116.5,64
M1,T0132,unfooted,contrastive,lower_lip,60,3.6,93.04,48
M1,T0133,footed,contrastive,tongue_tip,84,3,55.74,56
M1,T0134,footed,narrow,tongue_tip,78.5,3.5,54.47,26.6
M1,T0135,footed,background,tongue_tip,72,2.6,57.38,44
M1,T0136,footed,narrow,tongue_body,184,8.7,82.05,156
M1,T0138,unfooted,broad,tongue_tip,80,1.9,38.22,60
M1,T0139,unfooted,broad,lower_lip,44,2,65.36,28
M1,T0140,footed,contrastive,lower_lip,76,4.1,84.57,36
M1,T0141,footed,broad,tongue_body,96,5,101.76,76
M1,T0142,footed,background,tongue_body,128,6,80.42,112
M1,T0143,unfooted,background,lower_lip,140,4,47.68,108
M1,T0144,unfooted,background,tongue_tip,88,3.9,81.89,60
M1,T0145,footed,contrastive,tongue_body,92,2.3,39.19,72
M1,T0146,unfooted,broad,tongue_tip,88,3.9,71.69,68
M1,T0148,unfooted,background,tongue_tip,60,1.5,45.49,44
M1,T0149,footed,broad,lower_lip,80,2.4,47.72,32
M1,T0150,footed,background,tongue_tip,64,2.8,69.28,24
M1,T0151,unfooted,contrastive,tongue_tip,72,2.8,62.58,52
M1,T0152,footed,contrastive,lower_lip,88,3.5,63.92,44
M1,T0153,footed,narrow,tongue_tip,80,3.5,75.64,52
M1,T0155,footed,narrow,lower_lip,88,5.9,95.54,44
M1,T0156,unfooted,broad,tongue_body,112,3.8,65.6,100
M1,T0157,unfooted,narrow,tongue_tip,84,4.6,89.2,48
M1,T0158,footed,broad,tongue_body,224,11.6,82.66,136
M1,T0159,footed,narrow,tongue_body,168,9.5,103.42,156
M1,T0160,unfooted,narrow,lower_lip,72,4,80.93,40
M1,T0161,unfooted,narrow,tongue_body,68,1.9,41.83,48
M1,T0162,unfooted,contrastive,lower_lip,64,3.7,82.87,40
M1,T0163,footed,broad,tongue_tip,40,2.7,82.75,32
M1,T0164,unfooted,background,lower_lip,76,5,107.76,44
M1,T0165,unfooted,broad,lower_lip,96,2.6,41.3,44
M1,T0166,footed,contrastive,tongue_tip,80,1.9,44.2,52
M1,T0167,unfooted,background,tongue_body,108,3.3,79.49,100
M1,T0168,footed,background,lower_lip,96,3.4,54.14,44
