Speaker,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F1,footed,nrw,tongue_body,140,106.63,76,8.1
F1,unfooted,bck,tongue_body,132,99.82,48,7.7
F1,footed,cntr,tongue_body,128,122.4,56,8.7
F1,unfooted,cntr,tongue_body,116,124.57,64,10
F1,footed,brd,tongue_body,96,142.69,44,7.8
F1,footed,bck,tongue_body,76,72.92,52,3.9
F1,footed,cntr,tongue_body,104,101.18,56,6.7
F1,unfooted,nrw,tongue_body,128,112.2,60,9
F1,unfooted,brd,tongue_body,112,65.28,48,5
F1,footed,nrw,tongue_body,108,125.15,44,8.8
F1,footed,brd,tongue_body,108,84.97,44,5.7
F1,unfooted,cntr,tongue_body,100,62.14,64,4.5
F1,footed,nrw,tongue_body,72,77.44,52,3.7
F1,unfooted,nrw,tongue_body,72,79.86,52,3.8
F1,unfooted,nrw,tongue_body,136,95.8,52,8.1
F1,unfooted,bck,tongue_body,136,77.72,52,6.9
F1,footed,bck,tongue_body,96,73.01,72,4.6
F1,footed,cntr,tongue_body,132,137.76,72,8.6
F1,footed,brd,tongue_body,96,103.22,40,6.2
F1,unfooted,cntr,tongue_body,100,94.39,44,6.5
F1,unfooted,brd,tongue_body,104,76.9,48,4.5
F1,footed,nrw,tongue_body,116,87.57,52,7.3
F1,unfooted,nrw,tongue_body,132,50.68,76,4.7
F1,unfooted,brd,tongue_body,112,77.69,48,5.5
F1,footed,nrw,tongue_body,112,86.77,44,6.4
F1,unfooted,cntr,tongue_body,132,96.52,60,8.8
F1,unfooted,bck,tongue_body,148,69.77,64,6.7
F1,footed,bck,tongue_body,160,102.13,108,8.9
F1,footed,brd,tongue_body,100,90.67,48,5.8
F1,footed,bck,tongue_body,132,128.26,48,10
F1,footed,nrw,tongue_body,116,126.4,52,9.6
F1,unfooted,cntr,tongue_body,156,106.79,68,10.9
F1,footed,cntr,tongue_body,140,107.02,44,9.2
F1,unfooted,nrw,tongue_body,144,130.1,52,12
F1,unfooted,brd,tongue_body,92,86.95,56,5
F1,unfooted,bck,tongue_body,60,52.83,40,2.2
F1,unfooted,bck,tongue_body,136,95.88,60,8.4
F1,footed,bck,tongue_body,76,75.07,48,3.9
F1,footed,cntr,tongue_body,112,86.64,44,6
F1,footed,nrw,tongue_body,120,52.98,52,4.3
F1,unfooted,brd,tongue_body,120,61.51,76,4
F1,unfooted,cntr,tongue_body,124,93.16,68,7.1
F1,footed,brd,tongue_body,100,155.01,52,9.5
F2,unfooted,nrw,tongue_body,148,138.51,64,11.6
F2,footed,bck,lower_lip,56,126.86,36,4.2
F2,footed,bck,tongue_tip,88,123.37,52,6.6
F2,footed,bck,tongue_body,156,146.04,80,12.2
F2,footed,brd,lower_lip,56,119.58,28,4.2
F2,unfooted,cntr,lower_lip,76,141.66,44,6.2
F2,footed,brd,tongue_tip,84,104.33,32,6.1
F2,unfooted,bck,lower_lip,68,105.97,40,4.4
F2,unfooted,cntr,tongue_body,156,166.35,72,13.9
F2,unfooted,bck,tongue_body,124,136.03,64,10.8
F2,footed,nrw,lower_lip,48,128.21,32,4
F2,footed,nrw,tongue_tip,116,133.65,76,7.2
F2,unfooted,brd,tongue_tip,92,67.23,60,4.1
F2,footed,nrw,tongue_body,152,185.78,80,14.6
F2,unfooted,brd,tongue_body,140,163.03,68,12.5
F2,unfooted,brd,lower_lip,52,98.3,32,3.3
F2,unfooted,bck,tongue_tip,92,95.66,52,5.2
F2,unfooted,nrw,lower_lip,80,91.57,48,4.2
F2,footed,cntr,tongue_body,156,166.47,84,14.5
F2,footed,cntr,lower_lip,84,137.37,52,6.7
F2,footed,brd,tongue_body,132,165.04,64,12.3
F2,footed,cntr,lower_lip,88,155.43,44,7.9
F2,unfooted,nrw,tongue_body,148,92.55,64,8.2
F2,unfooted,nrw,tongue_tip,60,144.91,32,5.1
F2,unfooted,brd,tongue_body,140,121.26,64,9.4
F2,unfooted,bck,lower_lip,72,81.13,36,3.7
F2,unfooted,cntr,tongue_body,152,117.45,84,11
F2,footed,bck,tongue_body,136,118.68,64,9.8
F2,footed,bck,tongue_tip,72,115.76,48,3.7
F2,unfooted,cntr,lower_lip,84,79.36,32,3.6
F2,footed,bck,lower_lip,60,58.11,40,2.3
F2,unfooted,bck,tongue_body,108,57.48,52,4.8
F2,footed,cntr,tongue_body,108,140.51,68,9.5
F2,unfooted,brd,lower_lip,60,66.47,36,2.4
F2,footed,nrw,tongue_tip,68,109.37,48,3.5
F2,footed,brd,tongue_body,148,123.65,64,9.5
F2,footed,cntr,tongue_tip,92,113.18,76,3
F2,footed,brd,lower_lip,72,103.72,44,4.3
F2,unfooted,cntr,tongue_tip,96,190.34,68,6.4
F2,unfooted,brd,tongue_tip,52,120.97,28,3.9
F2,footed,nrw,lower_lip,72,105.97,40,4.7
F2,footed,nrw,tongue_body,148,117.84,52,9.4
F2,unfooted,nrw,lower_lip,96,93.2,40,5.6
F2,unfooted,bck,tongue_tip,60,181.09,36,6.6
F2,footed,brd,tongue_tip,100,148.12,72,5
F2,unfooted,nrw,tongue_tip,96,126.72,68,4.8
F2,unfooted,cntr,lower_lip,60,93.07,32,3.4
F2,footed,brd,tongue_tip,84,114.93,68,2.8
F2,footed,cntr,tongue_body,160,141.4,80,12
F2,unfooted,bck,tongue_body,160,80.68,64,9.5
F2,unfooted,brd,lower_lip,64,81.37,36,3.3
F2,unfooted,bck,tongue_tip,92,153.73,56,6.4
F2,unfooted,cntr,tongue_body,136,133.23,60,11.2
F2,footed,nrw,tongue_body,152,122.53,72,9.6
F2,footed,brd,tongue_body,120,98.1,60,7.4
F2,unfooted,nrw,tongue_body,112,102.79,68,7.9
F2,footed,nrw,tongue_tip,108,114.38,80,3.3
F2,footed,bck,tongue_tip,144,164.93,100,7.7
F2,footed,cntr,lower_lip,88,122.53,40,6.7
F2,unfooted,brd,tongue_body,116,91.26,84,7.6
F2,footed,bck,lower_lip,80,72.25,40,3.5
F2,footed,nrw,lower_lip,48,84.43,40,2.7
